Genome ID,Collection Year,Isolation Country,Host Name,Host Common Name,Host Group,Country Code
1717_1026,2012,France,Human,,,FRA
1717_974,2016,France,Human,,,FRA
1717_1018,2017,New Caledonia,Human,,,NCL
1717_950,2016,Mayotte,Human,,,MYT
1717_880,2010,Mayotte,Human,,,MYT
1717_824,1993,Russian Federation,Human,,,RUS
1717_934,2015,Mayotte,Human,,,MYT
1717_877,2008,Mayotte,Human,,,MYT
1717_973,2016,France,Human,,,FRA
1717_915,2013,France,Human,,,FRA
1717_1025,2009,Mayotte,Human,,,MYT
1717_1027,2015,France,Human,,,FRA
1717_840,1993,Russian Federation,Human,,,RUS
1717_943,2015,New Caledonia,Human,,,NCL
1717_845,1986,Russian Federation,Human,,,RUS
1717_878,2009,Mayotte,Human,,,MYT
1717_1030,2016,France,Human,,,FRA
1717_855,1994,Sweden,Human,,,SWE
1717_788,2002,New Caledonia,Human,,,NCL
1717_812,1999,France,Human,,,FRA
1717_857,1994,Thailand,Human,,,THA
1717_963,2016,France,Human,,,FRA
1717_1019,2017,France,Human,,,FRA
1717_793,1981,France,Human,,,FRA
1717_987,2017,France,Human,,,FRA
1717_954,2015,France,Human,,,FRA
1717_995,2017,France,Human,,,FRA
1717_977,2016,France,Human,,,FRA
1717_844,1994,Poland,Human,,,POL
1717_865,1993,Tunisia,Human,,,TUN
1717_969,2016,France,Human,,,FRA
1717_861,1995,Vietnam,Human,,,VNM
1717_848,1990,India,Human,,,IND
1717_1010,2017,France,Human,,,FRA
1717_822,1993,France,Human,,,FRA
1717_895,2012,Mayotte,Human,,,MYT
1717_832,1994,Belarus,Human,,,BLR
1717_883,2011,France,Human,,,FRA
1717_988,2017,Mayotte,Human,,,MYT
1717_908,2013,Mayotte,Human,,,MYT
1717_914,2013,France,Human,,,FRA
1717_873,2008,Mayotte,Human,,,MYT
1717_814,1991,France,Human,,,FRA
1717_817,1995,Dominican Republic,Human,,,DOM
1717_799,1984,France,Human,,,FRA
1717_1004,2017,New Caledonia,Human,,,NCL
1717_983,2016,New Caledonia,Human,,,NCL
1717_960,2015,France,Human,,,FRA
1717_951,2015,France,Human,,,FRA
1717_879,2009,Mayotte,Human,,,MYT
1717_902,2012,France,Human,,,FRA
1717_924,2014,Mayotte,Human,,,MYT
1717_931,2014,France,Human,,,FRA
1717_981,2016,France,Human,,,FRA
1717_798,1985,France,Human,,,FRA
1717_836,1996,Thailand,Human,,,THA
1717_979,2016,France,Human,,,FRA
1717_1016,2017,France,Human,,,FRA
1717_890,2011,France,Human,,,FRA
1717_859,1996,Thailand,Human,,,THA
1717_942,2015,Mayotte,Human,,,MYT
1717_922,2014,Mayotte,Human,,,MYT
1717_940,2015,New Caledonia,Human,,,NCL
1717_856,1992,Australia,Human,,,AUS
1717_985,2017,France,Human,,,FRA
1717_904,2012,Mayotte,Human,,,MYT
1717_838,1996,Thailand,Human,,,THA
1717_853,1985,United Kingdom,Human,,,GBR
1717_949,2016,France,Human,,,FRA
1717_860,1994,India,Human,,,IND
1717_892,2011,France,Human,,,FRA
1717_889,2011,Mayotte,Human,,,MYT
1717_854,1966,Romania,Human,,,ROU
1717_947,2016,Mayotte,Human,,,MYT
1717_1024,2009,Mayotte,Human,,,MYT
1717_1002,2017,Mayotte,Human,,,MYT
1717_1003,2017,New Caledonia,Human,,,NCL
1717_1033,2012,France,Human,,,FRA
1717_980,2016,France,Human,,,FRA
1717_957,2016,France,Human,,,FRA
1717_810,1996,Thailand,Human,,,THA
1717_961,2016,France,Human,,,FRA
1717_896,2012,Mayotte,Human,,,MYT
1717_802,1991,France,Human,,,FRA
1717_1020,2017,French Guiana,Human,,,GUF
1717_975,2016,France,Human,,,FRA
1717_926,2015,New Caledonia,Human,,,NCL
1717_913,2013,Guadeloupe,Human,,,GLP
1717_792,1983,France,Human,,,FRA
1717_958,2016,France,Human,,,FRA
1717_1005,2017,New Caledonia,Human,,,NCL
1717_823,1993,Gambia,Human,,,GMB
1717_900,2012,Mayotte,Human,,,MYT
1717_893,2012,Wallis and Futuna,Human,,,WLF
1717_847,1997,Italy,Human,,,ITA
1717_998,2017,New Caledonia,Human,,,NCL
1717_806,1994,Germany,Human,,,DEU
1717_1015,2017,Mayotte,Human,,,MYT
1717_945,2015,France,Human,,,FRA
1717_1008,2017,New Caledonia,Human,,,NCL
1717_804,1970,France,Human,,,FRA
1717_870,2008,Mayotte,Human,,,MYT
1717_827,1993,France,Human,,,FRA
1717_916,2014,France,Human,,,FRA
1717_972,2016,France,Human,,,FRA
1717_800,1986,France,Human,,,FRA
1717_835,1999,France,Human,,,FRA
1717_884,2011,France,Human,,,FRA
1717_789,2002,New Caledonia,Human,,,NCL
1717_1011,2017,France,Human,,,FRA
1717_930,2015,Mayotte,Human,,,MYT
1717_999,2017,New Caledonia,Human,,,NCL
1717_978,2016,New Caledonia,Human,,,NCL
1717_850,1994,Germany,Human,,,DEU
1717_996,2017,New Caledonia,Human,,,NCL
1717_1017,2017,Mayotte,Human,,,MYT
1717_937,2015,France,Human,,,FRA
1717_875,2009,Mayotte,Human,,,MYT
1717_843,1993,Australia,Human,,,AUS
1717_941,2015,France,Human,,,FRA
1717_946,2015,France,Human,,,FRA
1717_997,2017,France,Human,,,FRA
1717_925,2015,France,Human,,,FRA
1717_796,1985,France,Human,,,FRA
1717_886,2011,France,Human,,,FRA
1717_982,2016,France,Human,,,FRA
1717_885,2011,France,Human,,,FRA
1717_971,2016,France,Human,,,FRA
1717_841,1995,Australia,Human,,,AUS
1717_790,2003,New Caledonia,Human,,,NCL
1717_803,1994,Algeria,Human,,,DZA
1717_917,2014,France,Human,,,FRA
1717_1000,2017,Madagascar,Human,,,MDG
1717_894,2012,Wallis and Futuna,Human,,,WLF
1717_989,2017,France,Human,,,FRA
1717_986,2016,France,Human,,,FRA
1717_871,2008,Mayotte,Human,,,MYT
1717_809,1995,Russian Federation,Human,,,RUS
1717_911,2012,Mayotte,Human,,,MYT
1717_976,2016,New Caledonia,Human,,,NCL
1717_821,1994,Germany,Human,,,DEU
1717_1021,2017,French Guiana,Human,,,GUF
